Date,Value
2017-01-10,1
2017-01-26,1
2017-02-12,1
2017-02-14,1
2017-02-20,1
2017-02-29,1
2017-03-01,1
2017-03-08,1
2017-03-10,1
2017-03-20,1
2017-04-01,1
2017-04-03,1
2017-04-12,1
2017-04-18,1
2017-04-20,3
2017-04-30,2
2017-05-10,1
2017-05-14,1
2017-05-28,1
2017-06-11,1
2017-06-21,1
2017-07-08,1
2017-07-19,1
2017-07-20,1
2017-07-27,1
2017-08-05,1
2017-08-07,1
2017-08-21,1
2017-08-25,1
2017-08-30,1
2017-09-15,1
2017-10-01,1
2017-10-04,1
2017-10-06,1
2017-10-07,1
2017-10-16,1
2017-11-17,1
2017-11-21,1
2017-11-25,1
2017-12-22,1
2017-12-27,1